일자,자치구,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2024-04-13,양천구,19.5,12.5,27.3,0.0,0.0197,0.0434,0.32,0.0029,36.0,16.0
2024-04-14,양천구,20.7,13.6,28.4,0.0,0.0251,0.0482,0.43,0.0037,42.0,20.0
2024-04-15,양천구,16.1,11.7,20.4,15.5,0.02,0.0394,0.34,0.003,24.0,12.0
2024-04-16,양천구,13.5,11.0,18.2,2.0,0.0202,0.0423,0.42,0.0025,74.0,24.0
2024-04-17,양천구,15.0,9.1,22.1,0.0,0.026,0.0311,0.46,0.0029,131.0,35.0
2024-04-18,양천구,17.5,11.4,24.9,0.0,0.0342,0.0327,0.47,0.0035,102.0,23.0
2024-04-19,양천구,17.8,12.7,23.9,0.0,0.0259,0.0707,0.42,0.0042,92.0,26.0
2024-04-20,양천구,15.5,13.4,18.1,3.0,0.0264,0.0436,0.48,0.0029,65.0,26.0
2024-04-21,양천구,17.6,14.1,20.9,0.0,0.0093,0.0511,0.3,0.0021,15.0,5.0
2024-04-22,양천구,19.2,15.6,23.8,0.0,0.0151,0.0566,0.3,0.0022,31.0,15.0
2024-04-23,양천구,17.6,14.3,23.7,0.0,0.0144,0.0556,0.28,0.0022,23.0,10.0
2024-04-24,양천구,13.3,11.0,17.5,12.5,0.0143,0.0373,0.28,0.0021,12.0,4.0
2024-04-25,양천구,14.2,9.9,21.1,0.0,0.0194,0.0608,0.39,0.0024,31.0,19.0
2024-04-26,양천구,18.4,12.5,26.3,0.0,0.0316,0.0473,0.49,0.003,55.0,22.0
2024-04-27,양천구,18.5,12.2,26.5,0.0,0.0249,0.0546,0.47,0.0035,55.0,31.0
2024-04-28,양천구,20.7,13.0,29.0,0.0,0.0247,0.0616,0.45,0.0034,37.0,19.0
2024-04-29,양천구,21.0,18.0,25.7,0.0,0.0182,0.0583,0.35,0.0025,40.0,18.0
2024-04-30,양천구,17.9,15.2,21.7,0.0,0.0227,0.0498,0.45,0.0034,59.0,32.0
2024-05-01,양천구,18.3,14.9,23.5,0.0,0.0134,0.054,0.32,0.0024,28.0,14.0
2024-05-02,양천구,18.8,14.5,24.5,0.0,0.0206,0.0493,0.34,0.0033,34.0,18.0
2024-05-03,양천구,19.5,13.0,28.0,0.0,0.0257,0.0575,0.37,0.0047,45.0,22.0
2024-05-04,양천구,21.4,14.9,28.1,0.0,0.0279,0.0684,0.49,0.0074,52.0,31.0
2024-05-05,양천구,17.7,15.4,21.6,43.0,0.0137,0.0332,0.33,0.0028,24.0,14.0
2024-05-06,양천구,14.1,13.3,15.4,9.0,0.0087,0.0483,0.31,0.0022,11.0,5.0
2024-05-07,양천구,13.9,12.4,16.0,2.5,0.0137,0.034,0.34,0.0021,21.0,12.0
2024-05-08,양천구,15.6,11.1,21.7,0.0,0.0153,0.0369,0.28,0.0023,20.0,8.0
2024-05-09,양천구,16.4,11.7,21.9,0.0,0.0169,0.0488,0.31,0.0027,27.0,12.0
2024-05-10,양천구,18.2,13.6,23.9,0.0,0.0141,0.0561,0.3,0.0027,27.0,12.0
2024-05-11,양천구,17.2,13.9,22.4,33.0,0.0098,0.0457,0.25,0.0024,20.0,6.0
2024-05-12,양천구,17.0,12.0,22.3,0.0,0.0093,0.0453,0.28,0.0023,65.0,10.0
2024-05-13,양천구,19.2,12.8,25.1,0.0,0.0191,0.0475,0.34,0.0027,29.0,12.0
2024-05-14,양천구,19.3,13.7,24.8,0.0,0.021,0.0505,0.33,0.0027,27.0,12.0
2024-05-15,양천구,13.0,7.4,18.7,19.0,0.0138,0.0481,0.28,0.0026,25.0,6.0
2024-05-16,양천구,14.3,7.7,20.3,0.0,0.0136,0.0434,0.28,0.0026,15.0,4.0
2024-05-17,양천구,18.6,12.4,24.8,0.0,0.0177,0.0621,0.39,0.0031,44.0,17.0
2024-05-18,양천구,21.0,16.4,26.6,0.0,0.0155,0.0459,0.3,0.003,26.0,9.0
2024-05-19,양천구,21.8,16.6,28.4,0.0,0.0116,0.051,0.28,0.003,26.0,10.0
2024-05-20,양천구,19.7,17.0,23.2,0.0,0.0144,0.0376,0.26,0.0032,29.0,13.0
2024-05-21,양천구,21.5,16.5,28.6,0.0,0.0196,0.0527,0.36,0.0027,48.0,27.0
2024-05-22,양천구,20.5,16.5,26.1,0.0,0.0187,0.0462,0.36,0.0032,48.0,29.0
2024-05-23,양천구,20.4,16.3,26.8,0.0,0.0192,0.0387,0.29,0.0032,29.0,16.0
2024-05-24,양천구,20.0,16.0,24.2,0.0,0.0155,0.0373,0.29,0.0027,39.0,26.0
2024-05-25,양천구,21.2,18.8,24.3,0.0,0.0176,0.0368,0.33,0.003,38.0,20.0
2024-05-26,양천구,19.8,17.1,23.8,7.5,0.0105,0.044,0.3,0.0026,24.0,12.0
2024-05-27,양천구,19.3,14.9,23.9,0.0,0.01,0.0493,0.33,0.0024,26.0,8.0
2024-05-28,양천구,20.8,16.1,25.9,0.0,0.0121,0.0444,0.26,0.0024,16.0,6.0
2024-05-29,양천구,21.7,16.4,27.1,0.0,0.0206,0.0403,0.3,0.0031,23.0,10.0
2024-05-30,양천구,21.4,17.7,24.9,0.0,0.0347,0.0399,0.4,0.0035,27.0,13.0
2024-05-31,양천구,20.4,17.2,25.7,0.0,0.0166,0.053,0.29,0.0029,22.0,12.0
2024-06-01,양천구,20.9,18.0,25.6,0.0,0.0097,0.0522,0.28,0.0026,27.0,13.0
2024-06-02,양천구,21.4,17.2,26.6,0.0,0.0101,0.0583,0.27,0.003,20.0,9.0
2024-06-03,양천구,23.0,17.7,28.4,0.0,0.0125,0.0468,0.27,0.0023,15.0,6.0
2024-06-04,양천구,23.5,18.8,28.6,0.0,0.0133,0.0472,0.24,0.0024,16.0,6.0
2024-06-05,양천구,23.8,18.8,29.9,0.0,0.0249,0.0601,0.35,0.0035,40.0,25.0
2024-06-06,양천구,23.8,19.3,29.7,0.0,0.0229,0.071,0.39,0.0036,42.0,31.0
2024-06-07,양천구,23.2,18.0,28.3,0.0,0.02,0.0564,0.31,0.0032,25.0,17.0
2024-06-08,양천구,20.8,17.6,25.4,14.5,0.0122,0.023,0.29,0.0024,20.0,15.0
2024-06-09,양천구,23.2,18.2,29.0,0.0,0.0135,0.0536,0.33,0.003,23.0,18.0
2024-06-10,양천구,24.6,19.6,30.9,0.0,0.0156,0.0712,0.42,0.0034,39.0,27.0
2024-06-11,양천구,25.1,21.7,30.9,0.0,0.012,0.0878,0.42,0.003,48.0,35.0
2024-06-12,양천구,25.1,20.2,32.3,0.0,0.0157,0.0652,0.31,0.0032,26.0,15.0
2024-06-13,양천구,26.4,20.5,32.3,0.0,0.0209,0.0359,0.33,0.0034,26.0,15.0
2024-06-14,양천구,26.2,21.2,32.2,0.0,0.0208,0.0448,0.32,0.0045,34.0,21.0
2024-06-15,양천구,23.9,20.5,28.4,3.5,0.0116,0.0331,0.26,0.0032,23.0,18.0
2024-06-16,양천구,24.3,19.8,29.7,0.0,0.0104,0.0506,0.29,0.0029,19.0,12.0
2024-06-17,양천구,24.9,19.5,30.5,0.0,0.0155,0.0595,0.28,0.003,19.0,11.0
2024-06-18,양천구,25.4,20.4,31.4,0.0,0.0172,0.0538,0.28,0.003,21.0,13.0
2024-06-19,양천구,28.6,21.9,35.0,0.0,0.0198,0.0912,0.38,0.0042,39.0,26.0
2024-06-20,양천구,28.8,24.1,35.0,0.0,0.0227,0.0976,0.43,0.0051,43.0,29.0
2024-06-21,양천구,27.4,23.3,32.4,0.0,0.0215,0.0682,0.35,0.0051,34.0,20.0
2024-06-22,양천구,24.0,22.0,26.2,19.5,0.016,0.0387,0.4,0.003,24.0,19.0
2024-06-23,양천구,24.9,22.1,29.7,3.5,0.0083,0.0314,0.29,0.0025,14.0,8.0
2024-06-24,양천구,24.3,21.8,28.3,0.0,0.0105,0.0543,0.32,0.0024,43.0,17.0
2024-06-25,양천구,23.3,20.5,27.2,0.0,0.0107,0.0546,0.25,0.0026,18.0,7.0
2024-06-26,양천구,25.2,19.7,31.0,0.0,0.0134,0.0535,0.27,0.0025,20.0,10.0
2024-06-27,양천구,26.5,21.2,31.5,0.0,0.0235,0.063,0.36,0.0029,31.0,17.0
2024-06-28,양천구,26.8,22.1,31.8,0.0,0.0219,0.078,0.38,0.0032,36.0,24.0
2024-06-29,양천구,26.6,22.9,31.9,35.0,0.0148,0.0624,0.35,0.0026,28.0,19.0
2024-06-30,양천구,23.6,21.8,25.7,24.5,0.0064,0.0341,0.27,0.002,18.0,12.0
2024-07-01,양천구,26.3,21.8,31.1,0.0,0.012,0.0595,0.29,0.0022,22.0,14.0
2024-07-02,양천구,23.5,21.4,25.5,52.0,0.0156,0.027,0.33,0.0022,16.0,9.0
2024-07-03,양천구,24.9,23.9,27.2,0.5,0.0084,0.06,0.34,0.0023,20.0,13.0
2024-07-04,양천구,26.7,23.1,30.6,3.0,0.0096,0.0851,0.42,0.0024,36.0,29.0
2024-07-05,양천구,23.6,21.1,26.4,3.0,0.0111,0.0678,0.38,0.0024,15.0,11.0
2024-07-06,양천구,25.4,22.2,30.5,2.5,0.0141,0.0455,0.36,0.0026,23.0,16.0
2024-07-07,양천구,24.2,21.7,29.0,25.0,0.0095,0.0599,0.37,0.0023,17.0,12.0
2024-07-08,양천구,23.7,23.0,24.5,16.5,0.0144,0.0369,0.26,0.0022,9.0,6.0
2024-07-09,양천구,24.4,22.6,27.0,0.5,0.0145,0.037,0.28,0.0022,14.0,9.0
2024-07-10,양천구,26.9,22.9,32.1,2.5,0.0116,0.0471,0.26,0.0023,10.0,4.0
2024-07-11,양천구,24.8,22.4,28.7,0.0,0.0161,0.055,0.4,0.0026,34.0,28.0
2024-07-12,양천구,25.7,22.4,30.5,0.0,0.0207,0.0549,0.44,0.0027,36.0,27.0
2024-07-13,양천구,28.2,23.9,33.7,0.0,0.015,0.076,0.5,0.0026,46.0,38.0
2024-07-14,양천구,,25.5,32.2,0.0,0.009,0.0599,0.35,0.0023,29.0,24.0
2024-07-16,양천구,,,,12.5,0.0134,0.037,0.29,0.0022,14.0,9.0
2024-07-17,양천구,25.5,23.8,29.0,57.0,0.0108,0.015,0.2,0.0021,9.0,5.0
2024-07-18,양천구,24.3,23.0,25.8,127.0,0.0137,0.0226,0.24,0.0021,8.0,4.0
2024-07-19,양천구,26.9,23.9,31.5,0.5,0.01,0.047,0.27,0.0021,19.0,16.0
2024-07-20,양천구,27.2,24.8,31.0,16.5,0.0083,0.0427,0.23,0.0021,10.0,8.0
2024-07-21,양천구,27.0,22.6,30.5,7.0,0.0063,0.0492,0.2,0.0022,13.0,8.0
2024-07-22,양천구,26.7,24.0,28.3,73.0,0.0085,0.0148,0.19,0.002,9.0,6.0
2024-07-23,양천구,26.6,25.8,28.2,1.5,0.0088,0.0175,0.17,0.0021,10.0,5.0
2024-07-24,양천구,28.0,25.6,32.5,13.0,0.009,0.0147,0.18,0.0022,11.0,5.0
2024-07-25,양천구,28.9,24.7,34.0,25.0,0.0112,0.0234,0.22,0.0024,17.0,9.0
2024-07-26,양천구,29.2,25.4,33.8,6.0,0.0126,0.0206,0.22,0.0021,11.0,8.0
2024-07-27,양천구,29.1,27.4,32.3,23.0,0.01,0.0168,0.22,0.002,13.0,8.0
2024-07-28,양천구,29.4,27.6,33.0,0.0,0.0056,0.0139,0.17,0.0021,13.0,7.0
2024-07-29,양천구,27.5,26.7,28.3,0.0,0.0072,0.0147,0.16,0.002,17.0,8.0
2024-07-30,양천구,28.6,26.4,32.1,0.0,0.0081,0.0307,0.18,0.0018,14.0,11.0
2024-07-31,양천구,29.4,26.9,33.9,0.0,0.0075,0.0218,0.17,0.0019,12.0,7.0
2024-08-01,양천구,29.7,27.0,33.0,0.0,0.0076,0.0233,0.17,0.0018,12.0,8.0
2024-08-02,양천구,29.6,27.9,33.2,0.0,0.0082,0.0326,0.22,0.0018,22.0,14.0
2024-08-03,양천구,30.2,27.2,34.6,0.0,0.0085,0.0504,0.28,0.002,24.0,22.0
2024-08-04,양천구,31.5,26.9,36.3,0.0,0.0101,0.0541,0.32,0.0021,22.0,19.0
2024-08-05,양천구,30.6,27.1,36.0,0.0,0.0121,0.0464,0.31,0.0021,27.0,23.0
2024-08-06,양천구,29.7,26.4,33.6,1.5,0.0143,0.0363,0.27,0.0021,13.0,9.0
2024-08-07,양천구,29.8,26.6,34.6,6.0,0.0102,0.0268,0.21,0.0021,12.0,9.0
2024-08-08,양천구,28.7,26.8,32.5,0.0,0.0147,0.0301,0.24,0.0028,21.0,15.0
2024-08-09,양천구,29.7,25.7,34.8,0.0,0.0117,0.039,0.24,0.0025,21.0,17.0
2024-08-10,양천구,30.4,26.7,34.2,0.0,0.0127,0.0511,0.31,0.0025,28.0,23.0
2024-08-11,양천구,30.9,28.1,34.8,0.0,0.0083,0.0462,0.26,0.0024,23.0,19.0
2024-08-12,양천구,31.5,28.6,35.2,0.0,0.0061,0.0401,0.22,0.0024,19.0,16.0
2024-08-13,양천구,31.6,28.2,36.1,0.0,0.011,0.039,0.25,0.0021,21.0,17.0
2024-08-14,양천구,30.1,26.6,36.3,14.5,0.0144,0.0511,0.28,0.002,23.0,18.0
2024-08-15,양천구,30.1,27.5,35.6,0.0,0.0135,0.0521,0.3,0.0021,21.0,18.0
2024-08-16,양천구,30.5,27.8,35.4,0.0,0.0138,0.0481,0.27,0.0021,19.0,16.0
2024-08-17,양천구,30.4,28.0,35.1,0.0,0.0119,0.0593,0.3,0.0021,23.0,19.0
2024-08-18,양천구,29.8,27.9,33.7,1.0,0.0095,0.0544,0.3,0.0022,20.0,18.0
2024-08-19,양천구,30.4,27.3,36.0,0.0,0.0131,0.0604,0.33,0.0023,24.0,20.0
2024-08-20,양천구,31.8,27.7,35.6,0.0,0.0121,0.0497,0.28,0.0023,25.0,19.0
2024-08-21,양천구,28.3,26.4,31.4,52.5,0.0091,0.0193,0.2,0.0021,14.0,6.0
2024-08-22,양천구,28.8,27.0,31.0,2.0,0.0086,0.0254,0.2,0.0022,13.0,5.0
2024-08-23,양천구,28.5,25.9,32.2,0.0,0.011,0.065,0.32,0.0021,25.0,20.0
2024-08-24,양천구,27.7,24.4,31.7,29.0,0.012,0.0666,0.41,0.0023,34.0,32.0
2024-08-25,양천구,28.7,25.4,33.0,0.0,0.0119,0.0603,0.41,0.0024,34.0,30.0
2024-08-26,양천구,28.6,26.5,31.5,0.5,0.0164,0.0364,0.4,0.0021,34.0,28.0
2024-08-27,양천구,27.4,25.6,31.0,0.0,0.0168,0.0298,0.31,0.0022,22.0,13.0
2024-08-28,양천구,28.7,24.4,33.7,0.0,0.01,0.0442,0.26,0.002,13.0,8.0
2024-08-29,양천구,28.8,25.1,34.0,0.0,0.0099,0.0397,0.23,0.002,9.0,5.0
2024-08-30,양천구,28.4,24.6,33.1,0.0,0.0112,0.0327,0.24,0.0022,13.0,6.0
2024-08-31,양천구,28.0,23.5,33.7,0.0,0.009,0.0529,0.31,0.0025,33.0,19.0
2024-09-01,양천구,27.0,24.6,31.4,0.0,0.0092,0.0519,0.35,0.0025,27.0,21.0
2024-09-02,양천구,25.2,22.8,27.6,2.0,0.0159,0.0294,0.31,0.0021,18.0,12.0
2024-09-03,양천구,27.6,24.0,32.0,0.0,0.0113,0.0425,0.25,0.002,13.0,5.0
2024-09-04,양천구,28.0,24.3,32.7,0.0,0.0139,0.0502,0.28,0.0031,18.0,10.0
2024-09-05,양천구,26.4,25.0,28.5,9.0,0.0136,0.0393,0.28,0.0026,19.0,13.0
2024-09-06,양천구,24.3,22.7,26.0,0.0,0.0127,0.0264,0.3,0.0021,16.0,9.0
2024-09-07,양천구,26.7,23.3,31.6,0.0,0.0132,0.0478,0.33,0.0026,21.0,14.0
2024-09-08,양천구,27.2,23.8,31.3,0.0,0.0119,0.0621,0.39,0.0025,30.0,24.0
2024-09-09,양천구,29.1,24.9,34.1,0.0,0.0153,0.0505,0.36,0.0025,27.0,21.0
2024-09-10,양천구,29.9,26.5,33.9,0.0,0.0156,0.0521,0.34,0.0024,28.0,20.0
2024-09-11,양천구,29.0,25.9,35.2,1.5,0.0192,0.0524,0.34,0.0024,31.0,24.0
2024-09-12,양천구,25.6,25.0,26.7,59.5,0.0181,0.0123,0.32,0.0021,9.0,7.0
2024-09-13,양천구,26.2,24.6,28.5,8.5,0.0142,0.0102,0.25,0.0023,13.0,8.0
2024-09-14,양천구,28.0,25.4,32.3,0.5,0.0091,0.0244,0.22,0.0023,8.0,5.0
2024-09-15,양천구,27.8,24.7,32.2,0.0,0.0075,0.024,0.25,0.0021,13.0,8.0
2024-09-16,양천구,27.1,20.8,32.9,16.0,0.0082,0.036,0.24,0.002,7.0,4.0
2024-09-17,양천구,28.9,26.2,33.2,0.0,0.0096,0.0233,0.26,0.0021,12.0,7.0
2024-09-18,양천구,29.6,26.4,33.4,0.0,0.0094,0.0228,0.25,0.0022,17.0,13.0
2024-09-19,양천구,29.7,26.7,32.9,0.0,0.0136,0.0394,0.26,0.0024,19.0,14.0
2024-09-20,양천구,25.2,17.9,29.3,60.0,0.0122,0.0113,0.23,0.0018,11.0,8.0
2024-09-21,양천구,19.8,17.3,22.7,18.5,0.0064,0.0275,0.2,0.0017,4.0,1.0
2024-09-22,양천구,21.6,17.7,26.5,0.0,0.0055,0.0248,0.19,0.0017,4.0,1.0
2024-09-23,양천구,21.4,17.9,26.1,0.0,0.0091,0.0295,0.21,0.0017,8.0,3.0
2024-09-24,양천구,21.8,17.2,26.4,0.0,0.014,0.0348,0.25,0.0018,13.0,6.0
2024-09-25,양천구,23.9,19.9,28.0,0.0,0.0185,0.0292,0.28,0.0021,16.0,8.0
2024-09-26,양천구,24.0,21.3,28.7,0.0,0.0151,0.0372,0.27,0.002,15.0,10.0
2024-09-27,양천구,23.5,20.1,28.3,0.0,0.0138,0.0293,0.29,0.0019,18.0,11.0
2024-09-28,양천구,23.8,20.7,27.6,0.0,0.0086,0.0375,0.24,0.0017,12.0,6.0
2024-09-29,양천구,24.1,20.0,28.9,0.0,0.0075,0.0374,0.22,0.0017,8.0,4.0
2024-09-30,양천구,23.7,20.1,28.6,0.0,0.0157,0.0369,0.25,0.0022,14.0,7.0
2024-10-01,양천구,18.9,15.0,22.7,2.0,0.0095,0.032,0.23,0.002,13.0,6.0
2024-10-02,양천구,15.9,12.8,19.8,0.0,0.0107,0.0276,0.25,0.0018,16.0,7.0
2024-10-03,양천구,17.1,12.2,22.5,0.0,0.0137,0.0236,0.25,0.0018,17.0,8.0
2024-10-04,양천구,18.5,14.0,23.6,0.0,0.0154,0.0231,0.26,0.0019,17.0,8.0
2024-10-05,양천구,18.8,14.6,23.6,0.0,0.0192,0.0281,0.32,0.0019,26.0,13.0
2024-10-06,양천구,16.6,14.8,18.6,0.0,0.0231,0.0119,0.39,0.0019,25.0,15.0
2024-10-07,양천구,17.8,15.2,21.0,0.0,0.0208,0.0235,0.41,0.0024,42.0,25.0
2024-10-08,양천구,18.4,14.6,23.5,0.0,0.0213,0.0206,0.45,0.0023,47.0,29.0
2024-10-09,양천구,19.6,15.7,24.1,0.0,0.0113,0.0321,0.26,0.0018,14.0,7.0
2024-10-10,양천구,19.7,16.9,24.1,0.0,0.0149,0.0333,0.27,0.0021,20.0,11.0
2024-10-11,양천구,19.5,16.0,24.5,0.0,0.0223,0.036,0.37,0.0023,35.0,22.0
2024-10-12,양천구,19.4,15.2,24.6,0.0,0.023,0.0342,0.4,0.0025,37.0,24.0
2024-10-13,양천구,19.4,15.3,22.8,0.0,0.0183,0.0269,0.38,0.002,29.0,19.0
2024-10-14,양천구,20.1,18.5,22.3,0.0,0.0198,0.0202,0.29,0.0019,18.0,10.0
2024-10-15,양천구,19.6,17.8,22.1,0.5,0.0213,0.0139,0.31,0.0021,20.0,13.0
2024-10-16,양천구,18.8,15.8,23.8,0.0,0.026,0.0212,0.42,0.0024,42.0,26.0
2024-10-17,양천구,20.3,15.8,25.7,0.0,0.0277,0.0224,0.42,0.0023,38.0,23.0
2024-10-18,양천구,17.8,15.7,19.9,43.0,0.0197,0.0142,0.32,0.002,20.0,11.0
2024-10-19,양천구,16.9,13.4,20.7,1.0,0.0077,0.0272,0.24,0.0019,8.0,4.0
2024-10-20,양천구,14.3,11.9,17.6,0.0,0.0058,0.0301,0.19,0.0016,12.0,4.0
2024-10-21,양천구,15.5,11.3,19.6,0.0,0.02,0.0158,0.29,0.0019,17.0,6.0
2024-10-22,양천구,15.9,15.2,16.7,14.0,0.0239,0.006,0.36,0.002,13.0,7.0
2024-10-23,양천구,13.3,10.8,16.1,1.5,0.0096,0.0304,0.28,0.002,13.0,6.0
2024-10-24,양천구,13.6,9.3,18.2,0.0,0.0189,0.0243,0.34,0.002,24.0,14.0
2024-10-25,양천구,16.3,11.4,21.7,0.0,0.0328,0.0102,0.5,0.0022,29.0,16.0
2024-10-26,양천구,18.2,13.3,23.6,0.0,0.0275,0.0136,0.44,0.0022,25.0,14.0
2024-10-27,양천구,16.9,15.0,19.4,0.0,0.0152,0.0249,0.33,0.0024,26.0,16.0
2024-10-28,양천구,16.4,13.0,20.3,0.0,0.0178,0.0184,0.46,0.0021,43.0,29.0
2024-10-29,양천구,15.7,14.2,18.9,0.0,0.0196,0.018,0.3,0.002,15.0,7.0
2024-10-30,양천구,16.3,12.3,20.8,0.0,0.0206,0.0227,0.4,0.0025,28.0,16.0
2024-10-31,양천구,17.0,12.4,22.3,0.0,0.0323,0.0191,0.47,0.0026,36.0,23.0
2024-11-01,양천구,16.5,14.4,19.1,0.0,0.0412,0.0084,0.57,0.0026,44.0,27.0
2024-11-02,양천구,18.8,13.4,24.4,0.0,0.0221,0.0202,0.41,0.0026,35.0,22.0
2024-11-03,양천구,18.3,14.5,22.9,0.0,0.0125,0.0305,0.32,0.0023,24.0,16.0
2024-11-04,양천구,15.2,10.2,19.1,0.0,0.0105,0.0337,0.27,0.0022,24.0,13.0
2024-11-05,양천구,10.2,7.5,14.8,0.0,0.0114,0.0231,0.25,0.0026,28.0,10.0
2024-11-06,양천구,8.7,6.4,12.1,0.0,0.0159,0.0215,0.31,0.0029,29.0,14.0
2024-11-07,양천구,9.1,4.3,14.5,0.0,0.0277,0.0158,0.4,0.0027,41.0,21.0
2024-11-08,양천구,11.4,5.6,17.4,0.0,0.0372,0.012,0.5,0.0026,39.0,22.0
2024-11-09,양천구,13.4,7.8,19.7,0.0,0.0369,0.0132,0.57,0.0027,36.0,22.0
2024-11-10,양천구,15.0,11.6,20.1,0.0,0.0274,0.0178,0.44,0.0024,24.0,16.0
2024-11-11,양천구,15.0,11.0,20.9,0.0,0.0333,0.019,0.53,0.0029,59.0,34.0
2024-11-12,양천구,14.8,12.1,18.9,0.0,0.0213,0.0253,0.39,0.0028,36.0,22.0
2024-11-13,양천구,15.1,10.0,20.4,0.0,0.0343,0.0149,0.52,0.0029,43.0,23.0
2024-11-14,양천구,15.8,14.2,17.2,0.0,0.0361,0.0082,0.46,0.0028,36.0,18.0
2024-11-15,양천구,17.4,14.3,21.1,0.0,0.0234,0.0171,0.36,0.0024,25.0,14.0
2024-11-16,양천구,17.4,14.6,22.6,5.0,0.0146,0.0279,0.3,0.0023,19.0,12.0
2024-11-17,양천구,7.6,4.1,14.6,0.0,0.0064,0.0268,0.25,0.0023,18.0,9.0
2024-11-18,양천구,3.8,1.7,7.2,0.0,0.012,0.0221,0.25,0.0024,17.0,7.0
2024-11-19,양천구,6.8,2.6,10.8,0.0,0.032,0.0124,0.38,0.0026,24.0,13.0
2024-11-20,양천구,7.5,4.0,10.4,0.0,0.042,0.0051,0.59,0.003,42.0,27.0
2024-11-21,양천구,10.4,7.4,14.1,0.5,0.0337,0.0154,0.64,0.0032,58.0,38.0
2024-11-22,양천구,7.4,5.0,10.4,0.0,0.0209,0.0221,0.4,0.0032,33.0,19.0
2024-11-23,양천구,7.6,3.4,12.3,0.0,0.0293,0.0142,0.44,0.0025,25.0,16.0
2024-11-24,양천구,8.8,5.0,13.2,0.0,0.0296,0.0153,0.51,0.0025,20.0,13.0
2024-11-25,양천구,11.3,6.1,15.8,0.0,0.0315,0.012,0.45,0.0025,23.0,14.0
2024-11-26,양천구,6.3,1.4,13.3,23.0,0.0137,0.0245,0.3,0.0022,9.0,5.0
2024-11-27,양천구,0.1,-0.9,2.9,17.5,0.0178,0.0239,0.31,0.0022,9.0,7.0
2024-11-28,양천구,1.7,-0.1,5.0,7.5,0.0198,0.0219,0.38,0.0024,16.0,14.0
2024-11-29,양천구,1.7,-1.6,5.2,0.0,0.0315,0.0119,0.46,0.0028,31.0,20.0
2024-11-30,양천구,4.4,0.8,6.7,0.0,0.0401,0.0068,0.62,0.0029,26.0,17.0
2024-12-01,양천구,6.5,2.8,9.7,0.0,0.0351,0.005,0.65,0.0025,35.0,27.0
2024-12-02,양천구,7.5,1.7,13.9,0.0,0.0323,0.0162,0.59,0.0027,41.0,27.0
2024-12-03,양천구,1.9,-1.1,5.0,0.0,0.0176,0.0245,0.31,0.0027,17.0,7.0
2024-12-04,양천구,3.4,0.9,6.7,0.0,0.0275,0.0179,0.39,0.003,22.0,12.0
2024-12-05,양천구,4.6,1.5,8.8,1.5,0.0282,0.0188,0.41,0.0028,20.0,11.0
2024-12-06,양천구,2.8,0.1,5.5,0.0,0.0189,0.0237,0.34,0.0028,26.0,10.0
2024-12-07,양천구,0.7,-1.0,4.7,0.0,0.0169,0.0242,0.37,0.0028,22.0,13.0
2024-12-08,양천구,0.3,-2.6,3.9,0.0,0.0189,0.0221,0.02,0.0027,24.0,14.0
2024-12-09,양천구,2.2,-1.5,6.5,0.0,0.0374,0.0105,0.31,0.0031,34.0,19.0
2024-12-10,양천구,3.2,-0.9,6.9,0.0,0.0381,0.0109,0.69,0.0032,45.0,33.0
2024-12-11,양천구,3.2,0.5,6.8,0.0,0.0299,0.0159,0.73,0.0043,67.0,44.0
2024-12-12,양천구,1.3,-1.9,4.6,0.0,0.0246,0.0166,0.47,0.0039,37.0,22.0
2024-12-13,양천구,1.5,-0.5,4.3,0.0,0.0243,0.0201,0.42,0.0032,26.0,17.0
2024-12-14,양천구,0.2,-2.2,2.6,0.0,0.0203,0.0223,0.43,0.0028,29.0,18.0
2024-12-15,양천구,1.6,-0.6,6.3,0.0,0.024,0.021,0.39,0.0029,21.0,12.0
2024-12-16,양천구,0.8,-1.8,4.5,0.0,0.0377,0.0075,0.54,0.003,29.0,18.0
2024-12-17,양천구,-0.1,-2.9,3.6,0.0,0.0256,0.0169,0.43,0.0031,24.0,15.0
2024-12-18,양천구,-3.0,-4.9,-0.2,0.0,0.0187,0.0173,0.43,0.0032,32.0,19.0
2024-12-19,양천구,-0.9,-5.4,3.7,0.0,0.0366,0.0087,0.63,0.0046,57.0,35.0
2024-12-20,양천구,2.1,-0.8,5.0,0.0,0.0527,0.0026,0.81,0.0043,62.0,42.0
2024-12-21,양천구,-0.4,-3.7,2.2,3.0,0.0237,0.018,0.6,0.0027,50.0,43.0
2024-12-22,양천구,-2.4,-5.7,1.2,0.0,0.0157,0.0267,0.34,0.0026,19.0,10.0
2024-12-23,양천구,1.0,-2.8,6.5,0.0,0.0368,0.0132,0.59,0.0031,29.0,19.0
2024-12-24,양천구,0.4,-2.7,3.9,0.0,0.0334,0.0152,0.51,0.0033,32.0,21.0
2024-12-25,양천구,3.2,0.0,6.7,0.5,0.04,0.0125,0.61,0.0035,31.0,23.0
2024-12-26,양천구,0.5,-4.0,5.0,0.0,0.0225,0.0204,0.5,0.003,72.0,41.0
2024-12-27,양천구,-1.9,-4.3,1.5,0.0,0.0186,0.0244,0.37,0.0026,31.0,16.0
